plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld engine_trig_fibres engine_data_fibres engine_ctrl_fibres dataPp0 trigPp0 dataPp0_type trigPp0_type dataPp1 trigPp1 dataPp1_type trigPp1_type dataPp2 DAQ
1 3 3 FI 251.458 440.277 4 6 335.253 391.875 335.237 488.648 251.493 536.998 167.590 488.675 167.693 391.852 251.437 343.502 335.253 391.875 2 5.997 7.000 2.442 3.000 2.764 3.000 100 0 False 6 7.200 0 60.268 1 103030.000 103031 3 2 2 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_18 DAQ_2_6
1 3 4 FI 167.638 585.457 4 6 251.493 536.998 251.440 633.907 167.696 682.257 83.743 633.848 83.846 537.025 167.590 488.675 251.493 536.998 2 4.835 5.000 1.971 3.000 2.086 3.000 101 0 False 6 7.200 0 74.022 1 103040.000 103041 4 2 2 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_3 A B PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_3 Ap Ap PPFO(CE-)X5_18 DAQ_2_6
1 3 5 FI 83.818 730.638 4 6 167.696 682.257 167.593 779.080 83.762 827.480 0.033 779.057 -0.088 682.248 83.743 633.848 167.696 682.257 2 3.693 4.000 1.568 2.000 1.607 2.000 103 0 True 6 7.200 0 83.456 1 103050.000 103051 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 3 6 FM 0.007 875.813 5 6 83.762 827.480 83.833 924.203 0.002 972.603 -83.814 924.230 -83.798 827.457 0.033 779.057 83.762 827.480 2 2.990 4.000 1.045 2.000 1.020 2.000 106 1 False 3 3.600 0 90.000 0 103060.000 103060 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 3 7 FO -83.821 1020.998 5 6 0.002 972.603 -0.014 1069.376 -83.845 1117.776 -167.661 1069.403 -167.645 972.630 -83.814 924.230 0.002 972.603 2 2.513 3.000 0.834 1.000 0.793 1.000 106 1 False 3 3.600 0 94.693 0 103070.000 103070 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 3 8 FO -167.640 1166.178 5 6 -83.845 1117.776 -83.861 1214.549 -167.692 1262.949 -251.421 1214.526 -251.492 1117.803 -167.661 1069.403 -83.845 1117.776 2 2.169 3.000 0.680 1.000 0.649 1.000 106 0 True 3 3.600 0 98.180 0 103080.000 103080 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 3 9 FO -251.465 1311.350 5 6 -167.692 1262.949 -167.571 1359.759 -251.489 1408.209 -335.268 1359.699 -335.339 1262.976 -251.421 1214.526 -167.692 1262.949 2 1.643 2.000 0.547 1.000 0.536 1.000 106 0 False 3 3.600 0 100.855 0 103090.000 103090 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 3 10 aOeT -335.279 1456.539 5 4 -251.418 1504.932 -419.099 1408.099 -335.268 1359.699 -251.489 1408.209 -251.418 1504.932 0.000 0.000 0.000 0.000 2 0.984 2.000 0.227 1.000 0.227 1.000 106 0 False 3 3.600 0 102.963 0 103100.000 103100 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 4 0 FI 674.660 2.370 3 6 674.700 -94.400 758.500 -46.000 758.500 50.700 674.700 99.200 590.800 50.700 590.800 -46.000 674.700 -94.400 1 4.185 5.000 1.738 2.000 1.808 2.000 0 0 True 6 7.200 0 0.201 1 104000.000 104001 3 2 2 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
1 4 1 FI 590.840 147.550 3 6 590.800 50.700 674.700 99.200 674.700 195.900 590.800 244.400 507.000 195.900 507.000 99.200 590.800 50.700 1 4.835 5.000 1.971 3.000 2.086 3.000 1 0 False 6 7.200 0 14.022 1 104010.000 104011 4 2 2 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_3 A B PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
