plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd
1 8 5 FM 920.90000 725.00000 1 6 920.90000 628.40000 1004.60000 676.70000 1004.60000 773.40000 920.90000 821.70000 837.20000 773.40000 837.20000 676.70000 920.90000 628.40000 0 0 1.86500 2.00000 0.74300 1.00000 0.72400 1.00000
1 9 5 FO 1088.40000 725.00000 4 6 1088.40000 628.40000 1172.10000 676.70000 1172.10000 773.40000 1088.40000 821.70000 1004.60000 773.40000 1004.60000 676.70000 1088.40000 628.40000 0 0 1.68500 2.00000 0.61100 1.00000 0.60400 1.00000
1 7 6 FM 669.80000 870.00000 1 6 669.80000 773.40000 753.50000 821.70000 753.50000 918.40000 669.80000 966.70000 586.00000 918.40000 586.00000 821.70000 669.80000 773.40000 0 0 2.00100 3.00000 0.79500 1.00000 0.77300 1.00000
1 8 6 FM 837.20000 870.00000 1 6 837.20000 773.40000 920.90000 821.70000 920.90000 918.40000 837.20000 966.70000 753.50000 918.40000 753.50000 821.70000 837.20000 773.40000 0 0 1.85300 2.00000 0.67800 1.00000 0.66600 1.00000
1 9 6 FO 1004.60000 870.00000 1 6 1004.60000 773.40000 1088.40000 821.70000 1088.40000 918.40000 1004.60000 966.70000 920.90000 918.40000 920.90000 821.70000 1004.60000 773.40000 0 0 1.65100 2.00000 0.60700 1.00000 0.60100 1.00000
1 8 7 FO 753.50000 1015.10000 1 6 753.50000 918.40000 837.20000 966.70000 837.20000 1063.40000 753.50000 1111.70000 669.80000 1063.40000 669.80000 966.70000 753.50000 918.40000 0 0 1.78200 2.00000 0.64200 1.00000 0.63300 1.00000
1 9 7 FO 920.90000 1015.10000 1 6 920.90000 918.40000 1004.60000 966.70000 1004.60000 1063.40000 920.90000 1111.70000 837.20000 1063.40000 837.20000 966.70000 920.90000 918.40000 0 0 1.81500 2.00000 0.61900 1.00000 0.61900 1.00000
1 9 8 bOe 837.20000 1160.10000 2 5 920.90000 1208.40000 753.50000 1208.40000 753.50000 1111.70000 837.20000 1063.40000 920.90000 1111.70000 920.90000 1208.40000 0.00000 0.00000 0 0 1.16000 2.00000 0.46600 1.00000 0.46600 1.00000
1 2 0 gIe 334.90000 0.00000 3 6 334.90000 96.70000 310.30000 82.50000 310.30000 -82.50000 334.90000 -96.70000 418.60000 -48.30000 418.60000 48.30000 334.90000 96.70000 0 0 6.75400 7.00000 4.12100 4.00000 4.12100 4.00000
1 2 1 dIe 251.20000 145.00000 3 5 251.20000 241.70000 226.60000 227.50000 310.30000 82.50000 334.90000 96.70000 334.90000 193.30000 251.20000 241.70000 0.00000 0.00000 0 0 4.36300 5.00000 2.58700 3.00000 2.58700 3.00000
1 9 0 cOe 1507.00000 0.00000 5 3 1423.20000 -48.30000 1507.00000 96.70000 1423.20000 48.30000 1423.20000 -48.30000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0 0 0.00000 0.00000 0.12000 0.00000 0.12000 0.00000
1 10 2 cOe 1507.00000 290.00000 0 3 1507.00000 193.30000 1423.20000 338.40000 1423.20000 241.70000 1507.00000 193.30000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0 0 0.00000 0.00000 0.12000 0.00000 0.12000 0.00000
1 10 3 aOe 1423.20000 435.00000 0 4 1423.20000 338.40000 1423.20000 531.70000 1339.50000 483.40000 1339.50000 386.70000 1423.20000 338.40000 0.00000 0.00000 0.00000 0.00000 0 0 0.81300 1.00000 0.32300 1.00000 0.32300 1.00000
1 10 4 bOe 1339.50000 580.00000 1 5 1423.20000 531.70000 1339.50000 676.70000 1255.80000 628.40000 1255.80000 531.70000 1339.50000 483.40000 1423.20000 531.70000 0.00000 0.00000 0 0 1.18700 2.00000 0.44500 1.00000 0.44500 1.00000
