# this is V11.1:
#  same geometry (i.e. wafer type, vertices coordinates etc)
#  as we got from M. Noy at the start of our (PS, GF) work, i.e. here:
# https://gitlab.cern.ch/mnoy/hgcal_modmap/-/blob/59b99c3771802d268d31a3f0c9ff84ccbd044d83/geometries/v11.1/geomCMSSW1-50_corrected_withmult_F_rotations_subcassettes.txt
# differences w.r.t it are organisation of numbers and extra columns:
# - vertices coordinates are always 2x12, to have fixed format
# - U,V added, as computed by MB_engine.py
# - cassette and sub-cassette index are now 2 separate columns (they were a single one, with two comma-separated-nums)
# - columns added: hash to identify each sensor,
#
plane itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 rate_d rate_t aa bb links_d links_t u v hash MB isEngine nROCs power mrot phi
1 FO 1088.4 725.0 4 6 1088.4 628.4 1172.1 676.7 1172.1 773.4 1088.4 821.7 1004.6 773.4 1004.6 676.7 1088.4 628.4 0 0 10.93 1.45 0.37 1.57 1 2 9 5 109050 -1 False 3 3.6000000000000005 4 33.66819519858885
1 FM 669.8 870.0 1 6 669.8 773.4 753.5 821.7 753.5 918.4 669.8 966.7 586.0 918.4 586.0 821.7 669.8 773.4 0 0 18.57 2.03 0.53 1.94 1 2 7 6 107060 -1 False 3 3.6000000000000005 1 52.40786350512789
1 FM 837.2 870.0 1 6 837.2 773.4 920.9 821.7 920.9 918.4 837.2 966.7 753.5 918.4 753.5 821.7 837.2 773.4 0 0 13.81 1.7 0.43 1.73 1 2 8 6 108060 -1 False 3 3.6000000000000005 1 46.10067384251665
1 FO 1004.6 870.0 1 6 1004.6 773.4 1088.4 821.7 1088.4 918.4 1004.6 966.7 920.9 918.4 920.9 821.7 1004.6 773.4 0 0 9.59 1.4 0.34 1.53 1 2 9 6 109060 -1 False 3 3.6000000000000005 1 40.89309740125277
1 FO 753.5 1015.1 1 6 753.5 918.4 837.2 966.7 837.2 1063.4 753.5 1111.7 669.8 1063.4 669.8 966.7 753.5 918.4 0 0 11.89 1.55 0.38 1.63 1 2 8 7 108070 -1 False 3 3.6000000000000005 1 53.41381879341514
1 FO 920.9 1015.1 1 6 920.9 918.4 1004.6 966.7 1004.6 1063.4 920.9 1111.7 837.2 1063.4 837.2 966.7 920.9 918.4 0 0 8.35 1.31 0.31 1.48 1 2 9 7 109070 -1 False 3 3.6000000000000005 1 47.78564520652666
1 bOe 837.2 1160.1 2 5 920.9 1208.4 753.5 1208.4 753.5 1111.7 837.2 1063.4 920.9 1111.7 920.9 1208.4 -99.0 -99.0 0 0 4.96 1.01 0.23 1.29 1 2 9 8 109080 -1 False 3 3.6000000000000005 2 54.18345052907115
1 gIe 334.9 0.0 3 6 334.9 96.7 310.3 82.5 310.3 -82.5 334.9 -96.7 418.6 -48.3 418.6 48.3 334.9 96.7 0 0 216.8 13.84 4.03 6.94 5 8 2 0 102000 -1 False 6 7.200000000000001 3 0.0
1 dIe 251.2 145.0 3 5 251.2 241.7 226.6 227.5 310.3 82.5 334.9 96.7 334.9 193.3 251.2 241.7 -99.0 -99.0 0 0 116.95 7.76 2.42 4.96 3 6 2 1 102010 -1 False 3 3.6000000000000005 3 29.994801432322543
1 cOe 1507.0 0.0 5 3 1423.2 -48.3 1507.0 96.7 1423.2 48.3 1423.2 -48.3 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0 0 0.81 0.19 0.14 0.76 1 0 9 0 109000 -1 False 3 3.6000000000000005 5 0.0
1 cOe 1507.0 290.0 0 3 1507.0 193.3 1423.2 338.4 1423.2 241.7 1507.0 193.3 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0 0 0.67 0.18 0.14 0.76 1 0 10 2 110020 -1 False 3 3.6000000000000005 0 10.892577628002886
1 aOe 1423.2 435.0 0 4 1423.2 338.4 1423.2 531.7 1339.5 483.4 1339.5 386.7 1423.2 338.4 -99.0 -99.0 -99.0 -99.0 0 0 2.45 0.57 0.18 1.01 1 2 10 3 110030 -1 False 3 3.6000000000000005 0 16.99573258793637
1 bOe 1339.5 580.0 1 5 1423.2 531.7 1339.5 676.7 1255.8 628.4 1255.8 531.7 1339.5 483.4 1423.2 531.7 -99.0 -99.0 0 0 4.75 0.97 0.22 1.26 1 2 10 4 110040 -1 False 3 3.6000000000000005 1 23.41248551691102
1 dOe 1255.8 725.0 0 5 1255.8 628.4 1297.7 652.5 1213.9 797.5 1172.1 773.4 1172.1 676.7 1255.8 628.4 -99.0 -99.0 0 0 3.04 0.61 0.19 1.03 1 2 10 5 110050 -1 False 2 2.4 0 29.998752095359173
1 bOe 1172.1 870.0 1 5 1255.8 821.7 1172.1 966.7 1088.4 918.4 1088.4 821.7 1172.1 773.4 1255.8 821.7 -99.0 -99.0 0 0 4.81 0.97 0.23 1.26 1 2 10 6 110060 -1 False 3 3.6000000000000005 1 36.58492838593662
1 aOe 1088.4 1015.1 1 4 1172.1 966.7 1004.6 1063.4 1004.6 966.7 1088.4 918.4 1172.1 966.7 -99.0 -99.0 -99.0 -99.0 0 0 2.64 0.57 0.18 1.01 1 2 10 7 110070 -1 False 3 3.6000000000000005 1 43.00423962130067
1 cOe 1004.6 1160.1 0 3 1004.6 1063.4 920.9 1208.4 920.9 1111.7 1004.6 1063.4 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0 0 0.71 0.18 0.14 0.76 1 0 10 8 110080 -1 False 3 3.6000000000000005 0 49.10875230110197
2 FO 753.5 1015.1 4 6 669.7 1063.4 669.8 966.7 753.5 918.4 837.2 966.7 837.2 1063.4 753.5 1111.7 669.7 1063.4 0 0 11.78 1.55 0.38 1.63 1 2 8 7 208070 -1 False 3 3.6000000000000005 4 53.41381879341514
2 FM 669.8 870.0 4 6 586.0 918.4 586.0 821.7 669.7 773.4 753.5 821.7 753.5 918.4 669.8 966.7 586.0 918.4 0 0 19.27 2.03 0.55 1.94 1 2 7 6 207060 -1 False 3 3.6000000000000005 4 52.40786350512789
2 FM 586.0 725.0 4 6 502.3 773.4 502.3 676.7 586.0 628.4 669.8 676.7 669.7 773.4 586.0 821.7 502.3 773.4 0 0 32.78 2.77 0.79 2.41 1 3 6 5 206050 -1 False 3 3.6000000000000005 4 51.052227444938595
2 FM 502.3 580.0 4 6 418.6 628.4 418.6 531.7 502.3 483.4 586.1 531.7 586.0 628.4 502.3 676.7 418.6 628.4 0 0 63.06 4.07 1.27 3.25 2 4 5 4 205040 -1 False 3 3.6000000000000005 4 49.10630810254579
2 FI 418.6 435.0 4 6 334.8 483.3 334.9 386.7 418.6 338.4 502.3 386.6 502.3 483.4 418.6 531.7 334.8 483.3 0 0 128.42 6.71 2.61 4.48 3 5 4 3 204030 -1 False 6 7.200000000000001 4 46.10067384251665
2 FI 334.9 290.0 4 6 251.1 338.4 251.2 241.7 334.9 193.4 418.6 241.7 418.6 338.4 334.9 386.7 251.1 338.4 0 0 236.34 12.71 4.35 6.4 5 7 3 2 203020 -1 False 6 7.200000000000001 4 40.89027514341311
2 FM 837.2 870.0 4 6 753.5 918.4 753.5 821.7 837.3 773.4 920.9 821.7 921.0 918.4 837.2 966.7 753.5 918.4 0 0 14.13 1.7 0.44 1.73 1 2 8 6 208060 -1 False 3 3.6000000000000005 4 46.10067384251665
2 FM 753.5 725.0 4 6 669.7 773.4 669.8 676.7 753.5 628.3 837.2 676.7 837.3 773.4 753.5 821.7 669.7 773.4 0 0 23.24 2.23 0.64 2.07 1 3 7 5 207050 -1 False 3 3.6000000000000005 4 43.895686500520256
2 FM 669.8 580.0 4 6 586.0 628.4 586.1 531.7 669.8 483.4 753.5 531.7 753.5 628.3 669.8 676.7 586.0 628.4 0 0 40.23 3.06 0.91 2.6 1 3 6 4 206040 -1 False 3 3.6000000000000005 4 40.89027514341311
2 FI 586.0 435.0 4 6 502.3 483.4 502.3 386.6 586.1 338.3 669.8 386.7 669.8 483.4 586.1 531.7 502.3 483.4 0 0 80.11 4.51 1.84 3.53 2 4 5 3 205030 -1 False 6 7.200000000000001 4 36.587267975726995
2 FI 502.3 290.0 4 6 418.6 338.4 418.6 241.7 502.4 193.3 586.0 241.7 586.1 338.3 502.3 386.6 418.6 338.4 0 0 143.53 7.29 2.86 4.67 3 5 4 2 204020 -1 False 6 7.200000000000001 4 29.99973990859353
2 FI 418.6 145.0 3 6 334.9 193.4 334.9 96.7 418.7 48.3 502.3 96.7 502.4 193.3 418.6 241.7 334.9 193.4 0 0 234.26 12.71 4.31 6.4 5 7 3 1 203010 -1 False 6 7.200000000000001 3 19.10571399681616
