plane itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 rate_d rate_t aa bb links_d links_t u v hash MB isEngine nROCs power mrot phi
2 FO 753.50000 1015.10000 4 6 669.70000 1063.40000 669.80000 966.70000 753.50000 918.40000 837.20000 966.70000 837.20000 1063.40000 753.50000 1111.70000 669.70000 1063.40000 0 0 11.78000 1.55000 0.38000 1.63000 1 2 8 7 208070 10 False 3 3.60000 4 53.41382
2 FM 669.80000 870.00000 4 6 586.00000 918.40000 586.00000 821.70000 669.70000 773.40000 753.50000 821.70000 753.50000 918.40000 669.80000 966.70000 586.00000 918.40000 0 0 19.27000 2.03000 0.55000 1.94000 1 2 7 6 207060 10 False 3 3.60000 4 52.40786
2 FM 586.00000 725.00000 4 6 502.30000 773.40000 502.30000 676.70000 586.00000 628.40000 669.80000 676.70000 669.70000 773.40000 586.00000 821.70000 502.30000 773.40000 0 0 32.78000 2.77000 0.79000 2.41000 1 3 6 5 206050 10 True 3 3.60000 4 51.05223
2 FM 502.30000 580.00000 4 6 418.60000 628.40000 418.60000 531.70000 502.30000 483.40000 586.10000 531.70000 586.00000 628.40000 502.30000 676.70000 418.60000 628.40000 0 0 63.06000 4.07000 1.27000 3.25000 2 4 5 4 205040 10 False 3 3.60000 4 49.10631
2 FI 418.60000 435.00000 4 6 334.80000 483.30000 334.90000 386.70000 418.60000 338.40000 502.30000 386.60000 502.30000 483.40000 418.60000 531.70000 334.80000 483.30000 0 0 128.42000 6.71000 2.61000 4.48000 3 5 4 3 204030 11 True 6 7.20000 4 46.10067
2 FI 334.90000 290.00000 4 6 251.10000 338.40000 251.20000 241.70000 334.90000 193.40000 418.60000 241.70000 418.60000 338.40000 334.90000 386.70000 251.10000 338.40000 0 0 236.34000 12.71000 4.35000 6.40000 5 7 3 2 203020 11 False 6 7.20000 4 40.89028
2 FM 837.20000 870.00000 4 6 753.50000 918.40000 753.50000 821.70000 837.30000 773.40000 920.90000 821.70000 921.00000 918.40000 837.20000 966.70000 753.50000 918.40000 0 0 14.13000 1.70000 0.44000 1.73000 1 2 8 6 208060 9 False 3 3.60000 4 46.10067
2 FM 753.50000 725.00000 4 6 669.70000 773.40000 669.80000 676.70000 753.50000 628.30000 837.20000 676.70000 837.30000 773.40000 753.50000 821.70000 669.70000 773.40000 0 0 23.24000 2.23000 0.64000 2.07000 1 3 7 5 207050 9 True 3 3.60000 4 43.89569
2 FM 669.80000 580.00000 4 6 586.00000 628.40000 586.10000 531.70000 669.80000 483.40000 753.50000 531.70000 753.50000 628.30000 669.80000 676.70000 586.00000 628.40000 0 0 40.23000 3.06000 0.91000 2.60000 1 3 6 4 206040 9 False 3 3.60000 4 40.89028
2 FI 586.00000 435.00000 4 6 502.30000 483.40000 502.30000 386.60000 586.10000 338.30000 669.80000 386.70000 669.80000 483.40000 586.10000 531.70000 502.30000 483.40000 0 0 80.11000 4.51000 1.84000 3.53000 2 4 5 3 205030 4 True 6 7.20000 4 36.58727
2 FI 502.30000 290.00000 4 6 418.60000 338.40000 418.60000 241.70000 502.40000 193.30000 586.00000 241.70000 586.10000 338.30000 502.30000 386.60000 418.60000 338.40000 0 0 143.53000 7.29000 2.86000 4.67000 3 5 4 2 204020 4 False 6 7.20000 4 29.99974
2 FI 418.60000 145.00000 3 6 334.90000 193.40000 334.90000 96.70000 418.70000 48.30000 502.30000 96.70000 502.40000 193.30000 418.60000 241.70000 334.90000 193.40000 0 0 234.26000 12.71000 4.31000 6.40000 5 7 3 1 203010 3 False 6 7.20000 3 19.10571
2 FM 920.90000 725.00000 4 6 837.30000 773.40000 837.20000 676.70000 920.90000 628.30000 1004.70000 676.70000 1004.70000 773.40000 920.90000 821.70000 837.30000 773.40000 0 0 15.02000 1.80000 0.46000 1.79000 1 2 8 5 208050 8 False 3 3.60000 4 38.21241
2 FM 837.20000 580.00000 4 6 753.50000 628.30000 753.50000 531.70000 837.20000 483.30000 920.90000 531.70000 920.90000 628.30000 837.20000 676.70000 753.50000 628.30000 0 0 26.06000 2.34000 0.68000 2.14000 1 3 7 4 207040 8 True 3 3.60000 4 34.71365
2 FM 753.50000 435.00000 4 6 669.80000 483.40000 669.80000 386.70000 753.50000 338.40000 837.20000 386.70000 837.20000 483.30000 753.50000 531.70000 669.80000 483.40000 0 0 42.08000 3.17000 0.94000 2.67000 1 3 6 3 206030 8 False 3 3.60000 4 29.99809
2 FI 669.80000 290.00000 3 6 586.10000 338.30000 586.00000 241.70000 669.80000 193.30000 753.50000 241.60000 753.50000 338.40000 669.80000 386.70000 586.10000 338.30000 0 0 83.83000 4.51000 1.89000 3.53000 2 4 5 2 205020 4 False 6 7.20000 3 23.41093
2 FI 586.00000 145.00000 3 6 502.40000 193.30000 502.30000 96.70000 586.10000 48.30000 669.80000 96.70000 669.80000 193.30000 586.00000 241.70000 502.40000 193.30000 0 0 128.48000 6.71000 2.61000 4.48000 3 5 4 1 204010 3 False 6 7.20000 3 13.89813
2 FI 502.30000 0.00000 3 6 418.70000 48.30000 418.60000 -48.40000 502.30000 -96.70000 586.10000 -48.30000 586.10000 48.30000 502.30000 96.70000 418.70000 48.30000 0 0 189.64000 9.84000 3.60000 5.66000 4 6 3 0 203000 0 False 6 7.20000 3 0.00000
2 FO 1088.40000 725.00000 4 6 1004.70000 773.40000 1004.70000 676.70000 1088.40000 628.40000 1172.10000 676.70000 1172.10000 773.40000 1088.40000 821.70000 1004.70000 773.40000 0 0 10.98000 1.45000 0.37000 1.57000 1 2 9 5 209050 7 False 3 3.60000 4 33.66820
2 FM 1004.60000 580.00000 4 6 920.90000 628.30000 920.90000 531.70000 1004.70000 483.30000 1088.30000 531.70000 1088.40000 628.40000 1004.70000 676.70000 920.90000 628.30000 0 0 15.90000 1.83000 0.48000 1.81000 1 2 8 4 208040 7 True 3 3.60000 4 29.99974
